ymd,category,addr,notes,count
2016/01/01,車上ねらい,流山9丁目,,1
2016/01/01,部品ねらい,大字東深井,,1
2016/01/01,空き巣,平和台4丁目,,1
2016/01/01,非侵入窃盗,平和台3丁目,,1
2016/01/02,空き巣,加2丁目,,1
2016/01/03,車上ねらい,向小金2丁目,,1
2016/01/03,その他侵入盗,大字西平井,,1
2016/01/03,器物損壊,南流山3丁目,,1
2016/01/04,自転車盗,市野谷,,1
2016/01/04,自転車盗,加3丁目,,1
2016/01/04,自転車盗,大字東深井,,1
2016/01/04,器物損壊,南流山3丁目,,1
2016/01/04,その他犯罪,平和台4丁目,,1
2016/01/05,器物損壊,南流山3丁目,,1
2016/01/06,空き巣,駒木,集合住宅,1
2016/01/06,その他犯罪,南流山1丁目,,1
2016/01/07,オートバイ盗,野々下5丁目,,1
2016/01/07,オートバイ盗,流山2丁目,,1
2016/01/07,部品ねらい,向小金3丁目,,1
2016/01/07,自転車盗,東初石4丁目,,1
2016/01/07,自転車盗,江戸川台東2丁目,,1
2016/01/07,非侵入窃盗,南流山5丁目,,1
2016/01/08,オートバイ盗,駒木,,1
2016/01/08,忍び込み,美原1丁目,戸建て,1
2016/01/08,その他侵入盗,南流山7丁目,戸建て,1
2016/01/08,その他犯罪,流山1丁目,,1
2016/01/09,その他犯罪,流山2丁目,,1
2016/01/09,その他犯罪,宮園1丁目,,1
2016/01/09,その他犯罪,青田,未遂,1
2016/01/10,車上ねらい,西初石1丁目,,1
2016/01/10,部品ねらい,大字木,,1
2016/01/10,自転車盗,加3丁目,,1
2016/01/11,オートバイ盗,東初石6丁目,,1
2016/01/11,自転車盗,前平井,,1
2016/01/11,自転車盗,西初石6丁目,,1
2016/01/13,車上ねらい,東初石3丁目,,1
2016/01/13,非侵入窃盗,向小金1丁目,,1
2016/01/13,非侵入窃盗,大字木,,1
2016/01/13,非侵入窃盗,南流山3丁目,,1
2016/01/13,万引き,西初石6丁目,,1
2016/01/14,空き巣,駒木,集合住宅,1
2016/01/15,自動車盗,大字東深井,,1
2016/01/15,オートバイ盗,平和台4丁目,,1
2016/01/15,空き巣,鰭ヶ崎,集合住宅,1
2016/01/15,空き巣,十太夫,集合住宅,1
2016/01/15,振り込め詐欺,西初石4丁目,,1
2016/01/15,その他犯罪,十太夫,,1
2016/01/16,車上ねらい,平和台4丁目,,1
2016/01/16,空き巣,十太夫,集合住宅,1
2016/01/16,万引き,野々下6丁目,,1
2016/01/17,空き巣,大字西深井,集合住宅(未遂),1
2016/01/17,器物損壊,青田,,1
2016/01/17,その他犯罪,南流山3丁目,,1
